STATE DESCRIPTION,NAICS DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,EMPLOYMENT,"ANNUAL PAYROLL ($1,000)",YEAR,Code
Alaska,Total,8:   <500,133022,5739900,2008,AK
Arizona,Total,8:   <500,1094267,37136672,2008,AZ
Arkansas,Total,8:   <500,502072,14310228,2008,AR
California,Total,8:   <500,7033949,294905859,2008,CA
Colorado,Total,8:   <500,1054669,40387831,2008,CO
Connecticut,Total,8:   <500,779813,37526058,2008,CT
Delaware,Total,8:   <500,182505,6951375,2008,DE
District of Columbia,Total,8:   <500,218304,12744090,2008,DC
Florida,Total,8:   <500,3160395,110171126,2008,FL
Georgia,Total,8:   <500,1654219,57463008,2008,GA
Hawaii,Total,8:   <500,282412,9643613,2008,HI
Idaho,Total,8:   <500,313084,9075664,2008,ID
Illinois,Total,8:   <500,2602710,106737760,2008,IL
Indiana,Total,8:   <500,1266917,40895315,2008,IN
Iowa,Total,8:   <500,674098,20742378,2008,IA
Kansas,Total,8:   <500,628159,20168252,2008,KS
Kentucky,Total,8:   <500,756115,22973865,2008,KY
Louisiana,Total,8:   <500,903454,30780874,2008,LA
Maine,Total,8:   <500,298991,9492609,2008,ME
Maryland,Total,8:   <500,1159495,47042823,2008,MD
Massachusetts,Total,8:   <500,1472090,68362452,2008,MA
Michigan,Total,8:   <500,1867869,66790322,2008,MI
Minnesota,Total,8:   <500,1249961,45064929,2008,MN
Mississippi,Total,8:   <500,466985,13263509,2008,MS
Missouri,Total,8:   <500,1200124,38916390,2008,MO
Montana,Total,8:   <500,246504,6905636,2008,MT
Alabama,Total,8:   <500,846293,26959015,2008,AL
Nebraska,Total,8:   <500,407579,12459844,2008,NE
Nevada,Total,8:   <500,490124,18090429,2008,NV
New Hampshire,Total,8:   <500,309971,12134783,2008,NH
New Jersey,Total,8:   <500,1848782,80745898,2008,NJ
New Mexico,Total,8:   <500,354802,11186677,2008,NM
New York,Total,8:   <500,3942021,183638012,2008,NY
North Carolina,Total,8:   <500,1722558,54859410,2008,NC
North Dakota,Total,8:   <500,178994,5270454,2008,ND
Ohio,Total,8:   <500,2274779,77155037,2008,OH
Oklahoma,Total,8:   <500,714697,22660435,2008,OK
Oregon,Total,8:   <500,838411,27499612,2008,OR
Pennsylvania,Total,8:   <500,2567414,92413189,2008,PA
Rhode Island,Total,8:   <500,242886,8737483,2008,RI
South Carolina,Total,8:   <500,809842,24173362,2008,SC
South Dakota,Total,8:   <500,208079,5928187,2008,SD
Tennessee,Total,8:   <500,1118203,38246966,2008,TN
Texas,Total,8:   <500,4245221,160396234,2008,TX
Utah,Total,8:   <500,540531,17613070,2008,UT
Vermont,Total,8:   <500,164527,5497225,2008,VT
Virginia,Total,8:   <500,1545196,60346726,2008,VA
Washington,Total,8:   <500,1370400,51766018,2008,WA
West Virginia,Total,8:   <500,312106,8930919,2008,WV
Wisconsin,Total,8:   <500,1294360,43198488,2008,WI
Wyoming,Total,8:   <500,144032,5068188,2008,WY
Alabama,Total,9:   500+,868399,32868310,2008,AL
Alaska,Total,9:   500+,115365,6373149,2008,AK
Arizona,Total,9:   500+,1239794,52662346,2008,AZ
Arkansas,Total,9:   500+,523933,19499485,2008,AR
California,Total,9:   500+,6708976,365020404,2008,CA
Colorado,Total,9:   500+,1067049,50787325,2008,CO
Connecticut,Total,9:   500+,771492,45242666,2008,CT
Delaware,Total,9:   500+,207005,10615072,2008,DE
District of Columbia,Total,9:   500+,247746,17548212,2008,DC
Florida,Total,9:   500+,4206176,157258546,2008,FL
Georgia,Total,9:   500+,1979212,85316686,2008,GA
Hawaii,Total,9:   500+,235756,8895397,2008,HI
Idaho,Total,9:   500+,224868,8498581,2008,ID
Illinois,Total,9:   500+,2861420,143800495,2008,IL
Indiana,Total,9:   500+,1352223,53942700,2008,IN
Iowa,Total,9:   500+,643023,24486346,2008,IA
Kansas,Total,9:   500+,557618,23816437,2008,KS
Kentucky,Total,9:   500+,814685,31146454,2008,KY
Louisiana,Total,9:   500+,751697,31611702,2008,LA
Maine,Total,9:   500+,210102,8192299,2008,ME
Maryland,Total,9:   500+,1072995,52606817,2008,MD
Massachusetts,Total,9:   500+,1602479,93458787,2008,MA
Michigan,Total,9:   500+,1768372,81022569,2008,MI
Minnesota,Total,9:   500+,1267395,64313576,2008,MN
Mississippi,Total,9:   500+,477762,16013361,2008,MS
Missouri,Total,9:   500+,1272778,54793382,2008,MO
Montana,Total,9:   500+,113308,4172183,2008,MT
Nebraska,Total,9:   500+,398212,15779548,2008,NE
Nevada,Total,9:   500+,665956,25671138,2008,NV
New Hampshire,Total,9:   500+,285413,12835657,2008,NH
New Jersey,Total,9:   500+,1791872,104647622,2008,NJ
New Mexico,Total,9:   500+,286092,11073905,2008,NM
New York,Total,9:   500+,3675143,256993840,2008,NY
North Carolina,Total,9:   500+,1862565,77541282,2008,NC
North Dakota,Total,9:   500+,125912,4784059,2008,ND
Ohio,Total,9:   500+,2453637,104938233,2008,OH
Oklahoma,Total,9:   500+,620925,25333361,2008,OK
Oregon,Total,9:   500+,644557,29324555,2008,OR
Pennsylvania,Total,9:   500+,2663612,123370631,2008,PA
South Carolina,Total,9:   500+,844572,30916069,2008,SC
Tennessee,Total,9:   500+,1374543,52606647,2008,TN
Texas,Total,9:   500+,4986734,234299810,2008,TX
Utah,Total,9:   500+,574185,21825360,2008,UT
Vermont,Total,9:   500+,107961,3969893,2008,VT
Virginia,Total,9:   500+,1639038,78580195,2008,VA
Washington,Total,9:   500+,1166245,63518546,2008,WA
West Virginia,Total,9:   500+,279916,10237392,2008,WV
Wisconsin,Total,9:   500+,1202490,51917429,2008,WI
Wyoming,Total,9:   500+,77939,3801031,2008,WY
Rhode Island,Total,9:   500+,190676,8731436,2008,RI
South Dakota,Total,9:   500+,129737,4680053,2008,SD
Mississippi,Total,8:   <500,446555,12719888,2009,MS
Missouri,Total,8:   <500,1135569,36778409,2009,MO
Montana,Total,8:   <500,232640,6603329,2009,MT
Nebraska,Total,8:   <500,397385,12270790,2009,NE
Nevada,Total,8:   <500,441075,15770250,2009,NV
New Hampshire,Total,8:   <500,289778,11304978,2009,NH
Alabama,Total,8:   <500,787606,25415742,2009,AL
Alaska,Total,8:   <500,130853,5750306,2009,AK
Arizona,Total,8:   <500,975437,33104662,2009,AZ
Arkansas,Total,8:   <500,477491,13866131,2009,AR
California,Total,8:   <500,6541831,271680712,2009,CA
Colorado,Total,8:   <500,988785,37344471,2009,CO
Connecticut,Total,8:   <500,734564,34336491,2009,CT
Delaware,Total,8:   <500,170991,6631096,2009,DE
District of Columbia,Total,8:   <500,217296,12656356,2009,DC
Florida,Total,8:   <500,2901245,101358005,2009,FL
Georgia,Total,8:   <500,1533917,53150982,2009,GA
Hawaii,Total,8:   <500,266478,9112870,2009,HI
Idaho,Total,8:   <500,287006,8252190,2009,ID
Illinois,Total,8:   <500,2454700,99268951,2009,IL
Indiana,Total,8:   <500,1185907,37742787,2009,IN
Iowa,Total,8:   <500,664664,20221662,2009,IA
Kansas,Total,8:   <500,604613,19377620,2009,KS
Kentucky,Total,8:   <500,714275,21857612,2009,KY
Louisiana,Total,8:   <500,890873,29786419,2009,LA
Maine,Total,8:   <500,282122,9033968,2009,ME
Maryland,Total,8:   <500,1105231,45654113,2009,MD
Massachusetts,Total,8:   <500,1402940,63840349,2009,MA
Michigan,Total,8:   <500,1769122,61077179,2009,MI
Minnesota,Total,8:   <500,1205749,42513155,2009,MN
New Jersey,Total,8:   <500,1731788,75349350,2009,NJ
New Mexico,Total,8:   <500,334680,10541503,2009,NM
New York,Total,8:   <500,3794041,175065611,2009,NY
North Carolina,Total,8:   <500,1585019,50451526,2009,NC
North Dakota,Total,8:   <500,178324,5351946,2009,ND
Ohio,Total,8:   <500,2140192,71327132,2009,OH
Oklahoma,Total,8:   <500,691016,21686683,2009,OK
Oregon,Total,8:   <500,767009,25191835,2009,OR
Pennsylvania,Total,8:   <500,2445158,87387258,2009,PA
Rhode Island,Total,8:   <500,228482,8162183,2009,RI
South Carolina,Total,8:   <500,750147,22358593,2009,SC
South Dakota,Total,8:   <500,201636,5789722,2009,SD
Tennessee,Total,8:   <500,1037970,35409414,2009,TN
Texas,Total,8:   <500,4106861,151632915,2009,TX
Utah,Total,8:   <500,496909,16265170,2009,UT
Vermont,Total,8:   <500,157564,5238838,2009,VT
Virginia,Total,8:   <500,1459362,57667423,2009,VA
Washington,Total,8:   <500,1272282,48019121,2009,WA
West Virginia,Total,8:   <500,305711,8750722,2009,WV
Wisconsin,Total,8:   <500,1221520,40019155,2009,WI
Wyoming,Total,8:   <500,139134,4671400,2009,WY
Alabama,Total,9:   500+,824652,31556353,2009,AL
Alaska,Total,9:   500+,122029,6655368,2009,AK
Arizona,Total,9:   500+,1146828,49836431,2009,AZ
Arkansas,Total,9:   500+,493257,19199023,2009,AR
California,Total,9:   500+,6291878,350054190,2009,CA
Colorado,Total,9:   500+,1016793,50117248,2009,CO
Connecticut,Total,9:   500+,733727,43690234,2009,CT
Delaware,Total,9:   500+,199855,10146296,2009,DE
District of Columbia,Total,9:   500+,249254,17580105,2009,DC
Florida,Total,9:   500+,3960367,152002438,2009,FL
Georgia,Total,9:   500+,1876588,83481412,2009,GA
Hawaii,Total,9:   500+,221925,8629813,2009,HI
Idaho,Total,9:   500+,213220,8076204,2009,ID
Illinois,Total,9:   500+,2666270,134723783,2009,IL
Indiana,Total,9:   500+,1264073,50651411,2009,IN
Iowa,Total,9:   500+,619105,23610706,2009,IA
Kansas,Total,9:   500+,541650,22769246,2009,KS
Kentucky,Total,9:   500+,772270,29859264,2009,KY
Louisiana,Total,9:   500+,748231,31601375,2009,LA
Maine,Total,9:   500+,206810,8133589,2009,ME
Maryland,Total,9:   500+,1017157,50966546,2009,MD
Massachusetts,Total,9:   500+,1564937,89935031,2009,MA
Michigan,Total,9:   500+,1614493,74730454,2009,MI
Minnesota,Total,9:   500+,1211425,59666079,2009,MN
Mississippi,Total,9:   500+,457482,15732331,2009,MS
Missouri,Total,9:   500+,1223137,52030697,2009,MO
Montana,Total,9:   500+,108717,4050850,2009,MT
Nebraska,Total,9:   500+,382123,15203883,2009,NE
Nevada,Total,9:   500+,601091,23366788,2009,NV
New Hampshire,Total,9:   500+,278265,12323269,2009,NH
New Jersey,Total,9:   500+,1711423,101721341,2009,NJ
New Mexico,Total,9:   500+,281199,10837103,2009,NM
New York,Total,9:   500+,3538351,225724330,2009,NY
North Carolina,Total,9:   500+,1768912,73871702,2009,NC
North Dakota,Total,9:   500+,117759,4693983,2009,ND
Ohio,Total,9:   500+,2320361,100603663,2009,OH
Oklahoma,Total,9:   500+,599262,23551380,2009,OK
Oregon,Total,9:   500+,596817,28175627,2009,OR
Pennsylvania,Total,9:   500+,2599490,122390806,2009,PA
South Carolina,Total,9:   500+,792678,29362131,2009,SC
South Dakota,Total,9:   500+,128881,4663807,2009,SD
Tennessee,Total,9:   500+,1280016,50810944,2009,TN
Texas,Total,9:   500+,4818235,225013876,2009,TX
Utah,Total,9:   500+,562813,21582974,2009,UT
Vermont,Total,9:   500+,107202,3846222,2009,VT
Virginia,Total,9:   500+,1601824,79470800,2009,VA
Washington,Total,9:   500+,1113000,62370502,2009,WA
West Virginia,Total,9:   500+,267249,10113287,2009,WV
Wisconsin,Total,9:   500+,1134359,49354906,2009,WI
Wyoming,Total,9:   500+,75581,3572930,2009,WY
Rhode Island,Total,9:   500+,185102,8613535,2009,RI
Arkansas,Total,8:   <500,482603,14335666,2010,AR
Alaska,Total,8:   <500,135374,5939788,2010,AK
Arizona,Total,8:   <500,925994,32552404,2010,AZ
Alabama,Total,8:   <500,768302,25630579,2010,AL
California,Total,8:   <500,6323489,273208486,2010,CA
Colorado,Total,8:   <500,961394,37675525,2010,CO
Connecticut,Total,8:   <500,713635,33941504,2010,CT
Delaware,Total,8:   <500,168878,6834336,2010,DE
District of Columbia,Total,8:   <500,217123,13237755,2010,DC
Florida,Total,8:   <500,2840091,101246688,2010,FL
Georgia,Total,8:   <500,1483934,53141070,2010,GA
Hawaii,Total,8:   <500,258944,8802142,2010,HI
Idaho,Total,8:   <500,281500,8120865,2010,ID
Illinois,Total,8:   <500,2388695,99708631,2010,IL
Indiana,Total,8:   <500,1156550,38419229,2010,IN
Iowa,Total,8:   <500,643459,20573466,2010,IA
Kansas,Total,8:   <500,594623,19692462,2010,KS
Kentucky,Total,8:   <500,696652,21938863,2010,KY
Louisiana,Total,8:   <500,871369,30569026,2010,LA
Maine,Total,8:   <500,282460,9176839,2010,ME
Maryland,Total,8:   <500,1071687,46131203,2010,MD
Massachusetts,Total,8:   <500,1357370,64793629,2010,MA
Michigan,Total,8:   <500,1699821,62850024,2010,MI
Minnesota,Total,8:   <500,1180677,42692517,2010,MN
Mississippi,Total,8:   <500,436996,12934070,2010,MS
Missouri,Total,8:   <500,1110309,36949633,2010,MO
Montana,Total,8:   <500,231554,6648715,2010,MT
Nebraska,Total,8:   <500,391368,12478760,2010,NE
Nevada,Total,8:   <500,418384,15177076,2010,NV
New Hampshire,Total,8:   <500,284938,11207703,2010,NH
New Jersey,Total,8:   <500,1689316,75105857,2010,NJ
New Mexico,Total,8:   <500,330660,10602053,2010,NM
New York,Total,8:   <500,3737677,177640932,2010,NY
North Carolina,Total,8:   <500,1545390,50800730,2010,NC
North Dakota,Total,8:   <500,182453,5758016,2010,ND
Ohio,Total,8:   <500,2074788,72003768,2010,OH
Oklahoma,Total,8:   <500,673373,22139764,2010,OK
Oregon,Total,8:   <500,750293,25422325,2010,OR
Pennsylvania,Total,8:   <500,2419033,89171101,2010,PA
Rhode Island,Total,8:   <500,221019,8297977,2010,RI
South Carolina,Total,8:   <500,727761,22323088,2010,SC
South Dakota,Total,8:   <500,203857,5970745,2010,SD
Tennessee,Total,8:   <500,1017582,35941362,2010,TN
Texas,Total,8:   <500,4076197,155421491,2010,TX
Utah,Total,8:   <500,491905,16498034,2010,UT
Vermont,Total,8:   <500,157720,5400672,2010,VT
Virginia,Total,8:   <500,1437468,58840911,2010,VA
Washington,Total,8:   <500,1249608,48429878,2010,WA
West Virginia,Total,8:   <500,297701,8844726,2010,WV
Wisconsin,Total,8:   <500,1201786,40591407,2010,WI
Wyoming,Total,8:   <500,132920,4719529,2010,WY
Alabama,Total,9:   500+,799809,31817437,2010,AL
Alaska,Total,9:   500+,119360,6881706,2010,AK
Arizona,Total,9:   500+,1139230,51477908,2010,AZ
Arkansas,Total,9:   500+,482871,19399444,2010,AR
California,Total,9:   500+,6212913,362411882,2010,CA
Colorado,Total,9:   500+,993942,51569420,2010,CO
Connecticut,Total,9:   500+,723357,45977084,2010,CT
Delaware,Total,9:   500+,190129,10332424,2010,DE
District of Columbia,Total,9:   500+,245953,17749421,2010,DC
Florida,Total,9:   500+,3786467,151726539,2010,FL
Georgia,Total,9:   500+,1831340,84397720,2010,GA
Hawaii,Total,9:   500+,219894,8739679,2010,HI
Idaho,Total,9:   500+,206375,8115134,2010,ID
Illinois,Total,9:   500+,2591316,136009737,2010,IL
Indiana,Total,9:   500+,1243832,51979706,2010,IN
Iowa,Total,9:   500+,609636,24331150,2010,IA
Kansas,Total,9:   500+,532537,22993841,2010,KS
Kentucky,Total,9:   500+,760138,30308000,2010,KY
Louisiana,Total,9:   500+,728182,31696809,2010,LA
Maine,Total,9:   500+,198472,8101805,2010,ME
Maryland,Total,9:   500+,1003820,51676011,2010,MD
Massachusetts,Total,9:   500+,1571175,93610627,2010,MA
Michigan,Total,9:   500+,1588635,75959629,2010,MI
Minnesota,Total,9:   500+,1177294,62855777,2010,MN
Mississippi,Total,9:   500+,445185,15672503,2010,MS
Missouri,Total,9:   500+,1182242,51627030,2010,MO
Montana,Total,9:   500+,106851,4067385,2010,MT
Nebraska,Total,9:   500+,378068,15554646,2010,NE
Nevada,Total,9:   500+,584572,22732606,2010,NV
New Hampshire,Total,9:   500+,277567,13015942,2010,NH
New Jersey,Total,9:   500+,1677853,103551504,2010,NJ
New Mexico,Total,9:   500+,269505,10716877,2010,NM
New York,Total,9:   500+,3528512,240796990,2010,NY
North Carolina,Total,9:   500+,1689205,74373398,2010,NC
North Dakota,Total,9:   500+,112454,4785113,2010,ND
Ohio,Total,9:   500+,2277693,102512043,2010,OH
Oklahoma,Total,9:   500+,567795,23954537,2010,OK
Oregon,Total,9:   500+,600871,28945289,2010,OR
Pennsylvania,Total,9:   500+,2557160,122466982,2010,PA
South Carolina,Total,9:   500+,775092,30224444,2010,SC
Tennessee,Total,9:   500+,1246450,51594600,2010,TN
Texas,Total,9:   500+,4709041,231232300,2010,TX
Utah,Total,9:   500+,529238,21524323,2010,UT
Vermont,Total,9:   500+,106379,3907245,2010,VT
Virginia,Total,9:   500+,1560810,80217888,2010,VA
Washington,Total,9:   500+,1077123,62968623,2010,WA
West Virginia,Total,9:   500+,262749,10479071,2010,WV
Wisconsin,Total,9:   500+,1118910,50324856,2010,WI
Wyoming,Total,9:   500+,72126,3678769,2010,WY
Rhode Island,Total,9:   500+,177981,8534004,2010,RI
South Dakota,Total,9:   500+,125306,4872491,2010,SD
Maine,Total,8:   <500,280646,9383918,2011,ME
Maryland,Total,8:   <500,1078548,47122721,2011,MD
Massachusetts,Total,8:   <500,1369448,65842328,2011,MA
Michigan,Total,8:   <500,1724356,66108308,2011,MI
Minnesota,Total,8:   <500,1173793,44443920,2011,MN
Mississippi,Total,8:   <500,431798,12985062,2011,MS
Missouri,Total,8:   <500,1098076,37723883,2011,MO
Montana,Total,8:   <500,226492,6960710,2011,MT
Nebraska,Total,8:   <500,386049,12931402,2011,NE
Nevada,Total,8:   <500,410976,15395564,2011,NV
New Hampshire,Total,8:   <500,282664,11507773,2011,NH
New Jersey,Total,8:   <500,1689016,76992454,2011,NJ
New Mexico,Total,8:   <500,327506,10785058,2011,NM
New York,Total,8:   <500,3760551,181507553,2011,NY
North Carolina,Total,8:   <500,1531252,51794706,2011,NC
North Dakota,Total,8:   <500,182314,6445722,2011,ND
Ohio,Total,8:   <500,2074595,74216125,2011,OH
Alabama,Total,8:   <500,757475,25950638,2011,AL
Alaska,Total,8:   <500,134485,6268896,2011,AK
Arizona,Total,8:   <500,928155,33403839,2011,AZ
Arkansas,Total,8:   <500,482849,14694647,2011,AR
California,Total,8:   <500,6331871,280857823,2011,CA
Colorado,Total,8:   <500,962232,38805304,2011,CO
Connecticut,Total,8:   <500,710034,34206313,2011,CT
Delaware,Total,8:   <500,167505,6963488,2011,DE
District of Columbia,Total,8:   <500,223867,13908715,2011,DC
Florida,Total,8:   <500,2878741,104819673,2011,FL
Georgia,Total,8:   <500,1479081,54051569,2011,GA
Hawaii,Total,8:   <500,256569,8952951,2011,HI
Idaho,Total,8:   <500,272033,8225603,2011,ID
Illinois,Total,8:   <500,2381721,102027469,2011,IL
Indiana,Total,8:   <500,1157117,39598951,2011,IN
Iowa,Total,8:   <500,637149,21268020,2011,IA
Kansas,Total,8:   <500,588945,20308597,2011,KS
Kentucky,Total,8:   <500,689662,22482839,2011,KY
Louisiana,Total,8:   <500,875974,31780898,2011,LA
Oklahoma,Total,8:   <500,675890,23119125,2011,OK
Oregon,Total,8:   <500,750300,26163316,2011,OR
Pennsylvania,Total,8:   <500,2430201,91855331,2011,PA
Rhode Island,Total,8:   <500,222139,8521210,2011,RI
South Carolina,Total,8:   <500,719068,22652605,2011,SC
South Dakota,Total,8:   <500,197525,6134912,2011,SD
Tennessee,Total,8:   <500,1017917,37254190,2011,TN
Texas,Total,8:   <500,4119801,163981699,2011,TX
Utah,Total,8:   <500,486325,17212409,2011,UT
Vermont,Total,8:   <500,156760,5584865,2011,VT
Virginia,Total,8:   <500,1431801,60700612,2011,VA
Washington,Total,8:   <500,1221819,49355949,2011,WA
West Virginia,Total,8:   <500,294394,9240192,2011,WV
Wisconsin,Total,8:   <500,1200082,41970931,2011,WI
Wyoming,Total,8:   <500,130745,4883187,2011,WY
Alabama,Total,9:   500+,815663,33290727,2011,AL
Alaska,Total,9:   500+,120511,7125121,2011,AK
Arizona,Total,9:   500+,1180406,53129434,2011,AZ
Arkansas,Total,9:   500+,497795,20617718,2011,AR
California,Total,9:   500+,6366556,382712834,2011,CA
Colorado,Total,9:   500+,1010039,53849838,2011,CO
Connecticut,Total,9:   500+,732586,47924611,2011,CT
Delaware,Total,9:   500+,192097,10589615,2011,DE
District of Columbia,Total,9:   500+,253756,18963294,2011,DC
Florida,Total,9:   500+,3853898,160643957,2011,FL
Georgia,Total,9:   500+,1848952,87429745,2011,GA
Hawaii,Total,9:   500+,228979,9409173,2011,HI
Idaho,Total,9:   500+,210689,8663777,2011,ID
Illinois,Total,9:   500+,2656741,143028300,2011,IL
Indiana,Total,9:   500+,1283390,55051619,2011,IN
Iowa,Total,9:   500+,626516,25288091,2011,IA
Kansas,Total,9:   500+,524478,23425347,2011,KS
Kentucky,Total,9:   500+,773511,31869140,2011,KY
Louisiana,Total,9:   500+,741255,33990647,2011,LA
Maine,Total,9:   500+,199082,8380416,2011,ME
Maryland,Total,9:   500+,1025474,54178048,2011,MD
Massachusetts,Total,9:   500+,1591264,99350992,2011,MA
Michigan,Total,9:   500+,1654679,79722484,2011,MI
Minnesota,Total,9:   500+,1219953,66306948,2011,MN
Mississippi,Total,9:   500+,455974,16600248,2011,MS
Missouri,Total,9:   500+,1200219,54877953,2011,MO
Montana,Total,9:   500+,109618,4330932,2011,MT
Nebraska,Total,9:   500+,411632,17037751,2011,NE
Nevada,Total,9:   500+,589634,23347941,2011,NV
New Hampshire,Total,9:   500+,271337,12862098,2011,NH
New Jersey,Total,9:   500+,1688832,106514932,2011,NJ
New Mexico,Total,9:   500+,270062,11252624,2011,NM
New York,Total,9:   500+,3609180,253501069,2011,NY
North Carolina,Total,9:   500+,1753340,79836636,2011,NC
North Dakota,Total,9:   500+,123750,5835367,2011,ND
Ohio,Total,9:   500+,2358254,107893958,2011,OH
Oklahoma,Total,9:   500+,585700,26254699,2011,OK
Oregon,Total,9:   500+,591541,29928765,2011,OR
Pennsylvania,Total,9:   500+,2647910,130396735,2011,PA
South Carolina,Total,9:   500+,802055,31780522,2011,SC
South Dakota,Total,9:   500+,129224,5053688,2011,SD
Tennessee,Total,9:   500+,1282625,54529096,2011,TN
Texas,Total,9:   500+,4867862,250131363,2011,TX
Utah,Total,9:   500+,542778,22710192,2011,UT
Vermont,Total,9:   500+,107448,4005051,2011,VT
Virginia,Total,9:   500+,1597229,84645646,2011,VA
Washington,Total,9:   500+,1133304,69291878,2011,WA
West Virginia,Total,9:   500+,273950,11441644,2011,WV
Wisconsin,Total,9:   500+,1154202,53561341,2011,WI
Wyoming,Total,9:   500+,77640,4226546,2011,WY
Rhode Island,Total,9:   500+,184083,8753381,2011,RI
